194.7065, 89.8087, 171.3739, 109.9065, 105.0239, 62.2913, 152.2565, 116.1587, 135.2326, 187.0522, 208.2109, 57.0348, 111.0391, 114.9543, 159.6522, 201.2674, 110.8587, 210.0130, 116.4196, 208.6543, 201.3109, 204.0456, 190.5130, 167.9652, 84.4957, 160.3413, 192.9565, 53.4696, 94.8522, 207.6848, 144.4891, 99.7522
96.1997, 199.4872, 93.6204, 115.0836, 86.5241, 179.7932, 91.6742, 221.9263, 92.1629, 65.0312, 189.0283, 39.8045, 83.3938, 171.5042, 50.3045, 53.0283, 103.7889, 208.3626, 113.2394, 109.3385, 85.9660, 81.2422, 103.8286, 69.0694, 203.3555, 195.4745, 35.5949, 72.2833, 110.7011, 149.2224, 80.1714, 171.2210
166.7318, 75.4818, 166.3942, 168.8412, 73.1095, 50.2883, 186.0438, 87.0511, 121.1259, 200.0602, 154.4635, 203.9453, 170.4306, 70.4416, 163.7901, 122.6277, 108.7719, 178.8613, 93.8996, 201.3248, 197.7920, 192.2263, 122.1131, 190.1788, 147.9745, 64.1715, 220.6369, 135.0712, 78.1186, 201.4270, 87.6022, 98.1770
44.7711, 174.8762, 54.6567, 207.9850, 145.4841, 149.0994, 154.9606, 192.1820, 72.1801, 52.3827, 101.7842, 135.4240, 197.4784, 130.7336, 162.0788, 121.2927, 128.8255, 59.6585, 42.3377, 178.7186, 186.6379, 149.6116, 58.4278, 188.0582, 194.8330, 173.2401, 173.5009, 173.2233, 55.2270, 144.9587, 170.3865, 161.5760
197.1111, 117.8173, 186.8682, 178.4162, 205.2712, 81.5254, 179.8776, 190.5725, 147.0527, 203.4313, 164.4143, 142.8908, 84.1695, 195.9717, 101.7175, 114.9134, 212.3315, 212.3879, 211.3201, 194.2919, 191.8531, 99.2486, 178.0301, 214.0716, 87.0942, 76.6497, 201.4595, 184.3861, 125.8889, 125.3917, 155.9379, 152.3578
91.9905, 129.8933, 162.0781, 141.3200, 123.6324, 80.7429, 116.7505, 200.1067, 100.5619, 194.5467, 205.4876, 193.8590, 117.8267, 170.0762, 153.9867, 110.7752, 117.6514, 226.8343, 209.5886, 201.9810, 187.0743, 177.0019, 111.6457, 191.1486, 219.6933, 219.8838, 87.2362, 154.1086, 120.4629, 206.8629, 76.5086, 138.1391
108.3815, 76.7441, 163.0071, 172.3720, 157.8033, 71.7512, 158.6825, 46.1256, 121.6517, 146.0569, 114.4360, 73.0545, 188.2275, 75.7322, 80.2204, 115.9929, 176.6730, 77.5640, 124.2867, 136.5948, 74.1043, 163.9384, 146.6209, 178.6564, 140.3294, 94.6730, 209.2678, 113.4502, 145.3886, 94.0521, 158.0569, 62.0948
120.1891, 88.8558, 119.8202, 217.2360, 91.1854, 159.3820, 212.6742, 78.2228, 108.7603, 85.8539, 212.5993, 191.9963, 164.3109, 75.1255, 163.6367, 144.6423, 176.0936, 158.9719, 174.5805, 168.3558, 169.8802, 157.5187, 139.9494, 205.3465, 191.4401, 226.4551, 177.9981, 169.6554, 88.4625, 144.2584, 129.7303, 193.6611
133.9909, 186.3684, 77.9365, 196.9655, 156.0780, 176.4428, 82.0327, 221.5644, 99.6661, 55.7967, 204.7586, 154.6642, 90.0436, 201.5191, 78.1307, 133.5735, 186.1289, 204.7024, 166.2486, 203.2160, 115.6116, 51.1234, 93.7005, 218.0200, 208.9764, 206.2414, 151.7858, 188.9474, 77.7205, 140.9292, 141.3303, 142.4483
189.1240, 176.6136, 146.2479, 205.3843, 161.5537, 88.2004, 110.0620, 159.6508, 114.5145, 112.6818, 149.9711, 49.8058, 192.5000, 93.8822, 73.1446, 81.3120, 192.5868, 145.8161, 148.2190, 112.8140, 110.7934, 89.6240, 190.6281, 139.9008, 211.9669, 207.4752, 209.9587, 148.7872, 136.8781, 90.2169, 174.0207, 74.4153
